random_digit,student_digit,green_card1,green_card2,red_card1,red_card2
7,9,a,d,a,c
7,0,a,c,a,c
9,8,b,c,a,c
3,0,c,d,a,b
2,6,a,c,a,d
7,6,d,c,a,b
3,2,b,a,a,c
3,3,a,c,a,c
7,9,a,c,a,d
9,8,a,c,a,c
9,4,c,d,a,c
7,6,a,c,b,d
7,8,c,b,a,c
7,9,b,c,a,c
7,8,a,c,b,d
3,6,a,d,b,c
4,8,a,c,a,c
6,5,b,c,a,c
5,2,a,c,a,c
9,5,a,d,c,a
8,1,a,c,a,d
9,8,a,c,a,d
1,6,a,c,a,c
7,0,a,c,a,c
8,6,a,d,a,c
0,0,c,a,a,d
6,6,c,d,c,d
0,4,c,d,a,d
4,7,c,a,a,d
8,9,c,a,a,c
9,1,a,c,a,d
7,8,a,c,a,c
5,0,a,d,a,c
6,1,c,d,a,c
3,5,a,b,a,d
7,1,a,c,a,c
7,0,a,b,a,c
0,2,a,c,a,c
8,4,c,d,a,d
2,4,a,c,a,d
2,4,b,d,a,c
3,4,a,c,a,c